Date,Section,Title,Sentiment Score,Sentiment Interpretation,Web url
13/10/2024,World news,Three-armed robot conductor makes debut in Dresden,0.9953,Positive,https://www.theguardian.com/world/2024/oct/13/three-armed-robot-maira-pro-s-conductor-makes-debut-dresden
13/10/2024,World news,"Christopher Columbus may have been Spanish and Jewish, documentary says",-0.4453,Negative,https://www.theguardian.com/world/2024/oct/13/christopher-columbus-was-spanish-and-jewish-documentary-reveals
13/10/2024,World news,Israel orders more evacuations in Lebanon and threatens medics who treat Hezbollah members,-0.9981,Negative,https://www.theguardian.com/world/2024/oct/13/israel-orders-more-evacuations-in-lebanon-threatens-medics-who-treat-hezbollah-members
13/10/2024,World news,"BHP to face 620,000 claimants in Mariana dam collapse trial in London",-0.9845,Negative,https://www.theguardian.com/world/2024/oct/13/bhp-to-face-620000-claimants-in-mariana-dam-collapse-trial-in-london
13/10/2024,World news,"Hunger in Lebanon could soar amid Israeli onslaught, UN expert warns",-0.9993,Negative,https://www.theguardian.com/world/2024/oct/13/lebanon-hunger-starvation-malnutrition-israel-attacks
13/10/2024,World news,"Dear Howard Jacobson, don’t let historical hatreds hide Israel’s cruelty | Louise Adler",-0.9965,Negative,https://www.theguardian.com/world/2024/oct/13/howard-jacobson-gaza-israel-cruelty-louise-adler
13/10/2024,World news,‘They are taking incredible care of us’: Lebanon’s Shia put their faith in Hezbollah,-0.986,Negative,https://www.theguardian.com/world/2024/oct/13/lebanon-shia-faith-hezbollah-food-cash-medicines-conflict
13/10/2024,World news,Ukraine war briefing: Zelenskyy says forces are holding positions in Russia’s Kursk region,-0.9978,Negative,https://www.theguardian.com/world/2024/oct/13/ukraine-war-briefing-zelenskyy-says-forces-are-holding-positions-in-russias-kursk-region
05/10/2024,World news,Faith leaders unite to reject prejudice on eve of 7 October anniversary,-0.992,Negative,https://www.theguardian.com/world/2024/oct/05/faith-leaders-unite-to-reject-prejudice-on-eve-of-7-october-anniversary
05/10/2024,World news,Tens of thousands join pro-Palestinian protests in London,-0.9826,Negative,https://www.theguardian.com/world/2024/oct/05/tens-of-thousands-join-pro-palestinian-protest-in-london
05/10/2024,World news,How Gaza sparked the biggest UK protest movement in recent history – and a headache for the police,-0.9994,Negative,https://www.theguardian.com/world/2024/oct/05/how-gaza-sparked-the-biggest-uk-protest-movement-in-recent-history-and-a-headache-for-the-police
05/10/2024,World news,Escalation with Iran could be risky: Israel is more vulnerable than it seems ,-0.9973,Negative,https://www.theguardian.com/world/2024/oct/05/escalation-with-iran-could-be-risky-israel-is-more-vulnerable-than-it-seems
05/10/2024,World news,Hundreds join silent march in France in support of Gisèle Pelicot,-0.999,Negative,https://www.theguardian.com/world/2024/oct/05/hundreds-join-silent-march-in-france-in-support-of-gisele-pelicot
05/10/2024,World news,Three hospitals in Lebanon forced to close amid Israeli bombing,-0.9964,Negative,https://www.theguardian.com/world/2024/oct/05/lebanon-hospitals-forced-close-amid-israeli-bombing
05/10/2024,World news,Israel ‘preparing response’ to Iran attack as 7 October anniversary looms,-0.9943,Negative,https://www.theguardian.com/world/2024/oct/05/israel-preparing-response-to-iran-attack-as-7-october-anniversary-looms
05/10/2024,World news,Families lay wreaths to mark 25 years since Ladbroke Grove rail crash,-0.9948,Negative,https://www.theguardian.com/world/2024/oct/05/families-wreaths-25-years-ladbroke-grove-rail-crash-killed-31
05/10/2024,World news,Arab spring dreams in ruins as Tunisia goes to polls against backdrop of repression,-0.9831,Negative,https://www.theguardian.com/world/2024/oct/05/arab-spring-tunisia-election-polls-repression-kais-saied
05/10/2024,World news,‘There is a sense of safety here’: the artists keeping culture alive in Kharkiv,0.9784,Positive,https://www.theguardian.com/world/2024/oct/05/there-is-a-sense-of-safety-here-the-artists-keeping-culture-alive-in-kharkiv-ukraine
05/10/2024,World news,UK charters another flight from Lebanon and urges Britons to leave,-0.427,Negative,https://www.theguardian.com/world/2024/oct/05/uk-charters-another-flight-from-lebanon-and-urges-britons-to-leave
05/10/2024,World news,Blasts shake Beirut’s southern suburbs as Israeli military urges evacuations,-0.9906,Negative,https://www.theguardian.com/world/2024/oct/05/blasts-shake-beiruts-southern-suburbs-as-israeli-military-urges-evacuations
05/10/2024,World news,Growth of far-right ‘active clubs’ in UK prompts call to tackle misogyny,0.9621,Positive,https://www.theguardian.com/world/2024/oct/05/growth-of-far-right-active-clubs-uk-misogyny
05/10/2024,World news,‘You need to go’: up to 500 Australians prepare for evacuation from Lebanon amid government warnings,0.9715,Positive,https://www.theguardian.com/world/2024/oct/05/500-australians-evacuation-lebanon-gaza-israel-war-beirut
05/10/2024,World news," $1,800 a seat: luxury yachts evacuate people from Lebanon as flights dry up",-0.9945,Negative,https://www.theguardian.com/world/2024/oct/05/1800-a-seat-luxury-yachts-evacuate-people-from-lebanon-as-flights-dry-up
05/10/2024,World news,Squeezed out: last accordion maker in France to close shop after 105 years,0.9704,Positive,https://www.theguardian.com/world/2024/oct/05/squeezed-out-last-accordion-maker-in-france-to-close-shop-after-105-years
05/10/2024,World news,Ukraine war briefing: Zaporizhzhia nuclear plant employee killed in Ukrainian car bomb attack,-0.9969,Negative,https://www.theguardian.com/world/2024/oct/05/ukraine-war-briefing-zaporizhzhia-nuclear-plant-employee-killed-in-ukrainian-car-bomb-attack
17/10/2024,World news,Harris says death of Yahya Sinwar is chance to finally end Israel-Gaza war,-0.9907,Negative,https://www.theguardian.com/world/2024/oct/17/kamala-harris-yahya-sinwar-death-reactions
17/10/2024,World news,Japan general election: what would it take for the ruling LDP party to be ousted?,0.8119,Positive,https://www.theguardian.com/world/2024/oct/18/japan-general-election-2024-updates-ldp-party-polls
17/10/2024,World news,Why immigration is back on the European Union’s agenda,0.9166,Positive,https://www.theguardian.com/world/2024/oct/17/why-immigration-back-european-union-agenda-far-right
17/10/2024,World news,EU considers offshore centres for deportees as it hardens on migration,0.9904,Positive,https://www.theguardian.com/world/2024/oct/17/clashes-expected-at-eu-summit-as-migration-return-hubs-top-agenda
17/10/2024,World news,Killing of Hamas leader Yahya Sinwar: what we know so far,-0.9985,Negative,https://www.theguardian.com/world/2024/oct/17/israel-says-hamas-chief-yahya-sinwar-is-dead-what-we-know-so-far
17/10/2024,World news,Dozens killed in Israeli airstrike on school used as shelter in Gaza City,-0.9988,Negative,https://www.theguardian.com/world/2024/oct/17/dozens-killed-in-israeli-airstrike-on-school-used-as-shelter-in-gaza-city
17/10/2024,World news,The Hamas and Hezbollah leaders killed by Israel since 7 October attack,-0.9985,Negative,https://www.theguardian.com/world/2024/oct/17/the-hamas-and-hezbollah-leaders-killed-by-israel-since-7-october-attack
17/10/2024,World news,Hamas leader Yahya Sinwar killed in surprise encounter with Israeli forces,-0.9991,Negative,https://www.theguardian.com/world/2024/oct/17/israeli-military-says-it-may-have-killed-hamas-leader-yahya-sinwar
17/10/2024,World news,Yahya Sinwar: ruthless operator who plotted Hamas 7 October attack,-0.9989,Negative,https://www.theguardian.com/world/2024/oct/17/yahya-sinwar-hamas-leader-profile
17/10/2024,World news,Death of Yahya Sinwar is boost for Netanyahu but may not end war,-0.9901,Negative,https://www.theguardian.com/world/2024/oct/17/yahya-sinwar-hamas-gaza-netanyahu-israel-war
17/10/2024,World news,Zelenskyy presses EU for ‘immediate invitation’ to join Nato,-0.8352,Negative,https://www.theguardian.com/world/2024/oct/17/zelenskyy-presses-eu-for-immediate-invitation-to-join-nato-ukraine
17/10/2024,World news,Tell us: have you donated your health information to UK Biobank?,0.9231,Positive,https://www.theguardian.com/world/2024/oct/17/tell-us-have-you-donated-your-health-information-to-uk-biobank
17/10/2024,World news,Bird flu in pheasants in England sparks concern over lax rearing rules,-0.9839,Negative,https://www.theguardian.com/world/2024/oct/17/bird-flu-pheasants-england-sparks-concern-lax-rearing-rules
17/10/2024,World news,Netherlands mulls sending rejected African asylum seekers to Uganda,0.8738,Positive,https://www.theguardian.com/world/2024/oct/17/netherlands-mulls-sending-rejected-african-asylum-seekers-to-uganda
17/10/2024,World news,‘Race science’ group say they accessed sensitive UK health data,-0.5456,Negative,https://www.theguardian.com/world/2024/oct/17/race-science-group-say-they-accessed-sensitive-uk-health-data
17/10/2024,World news,Labour backtracks on push for genocide ruling on China’s treatment of Uyghurs,0.987,Positive,https://www.theguardian.com/world/2024/oct/17/labour-backtracks-genocide-ruling-china-uyghurs-lammy-visit
17/10/2024,World news,US attacks Houthi targets in Yemen with B-2 stealth bombers for first time,-0.9964,Negative,https://www.theguardian.com/world/2024/oct/17/us-strikes-stealth-bombers-houthis-yemen
17/10/2024,World news,Six Russian soldiers granted French temporary entry permits after fleeing Ukraine,-0.8473,Negative,https://www.theguardian.com/world/2024/oct/16/six-russian-soldiers-granted-visas-to-france-after-fleeing-war-in-ukraine
17/10/2024,World news,‘It’s shameful and I won’t pay it’: flood-hit Italians rage against insurance call,-0.998,Negative,https://www.theguardian.com/world/2024/oct/17/its-shameful-and-i-wont-pay-it-flood-hit-italians-rage-against-insurance-call
17/10/2024,World news,"Thursday briefing: The £40bn funding gap, £22bn ‘black hole’ and more tricky terms, explained",0.7746,Positive,https://www.theguardian.com/world/2024/oct/17/first-edition-22bn-black-hole-explained
17/10/2024,World news,Tax on Europe’s frequent flyers could raise €64bn a year – study,0.9968,Positive,https://www.theguardian.com/world/2024/oct/17/tax-on-europes-frequent-flyers-could-raise-64bn-a-year-study
17/10/2024,World news,Iraq militias step up Israel attacks as Iran looks to junior proxies,-0.9995,Negative,https://www.theguardian.com/world/2024/oct/17/iraq-militias-step-up-israel-attacks-as-iran-looks-to-junior-proxies
17/10/2024,World news,EU’s weak or distracted governments make unity of purpose hard to achieve,-0.9208,Negative,https://www.theguardian.com/world/2024/oct/17/eus-weak-or-distracted-governments-make-unity-of-purpose-hard-to-achieve
17/10/2024,World news,South Australia’s upper house narrowly rejects ‘Trumpian’ bill to wind back abortion care,0.9956,Positive,https://www.theguardian.com/world/2024/oct/16/south-australias-upper-house-narrowly-rejects-trumpian-bill-to-wind-back-abortion-care
26/10/2024,World news,Joe Biden says he hopes latest Israeli strike on Iran will end escalation ,-0.9997,Negative,https://www.theguardian.com/world/2024/oct/26/joe-biden-says-he-hopes-latest-israeli-strike-on-iran-will-end-escalation
26/10/2024,World news,Georgia’s ruling party leading in pivotal election ahead of pro-EU opposition,0.9981,Positive,https://www.theguardian.com/world/2024/oct/26/georgias-ruling-party-and-pro-western-opposition-both-claim-election-victory
